年份,月份,人数
1949,1月,112
1949,2月,118
1949,3月,132
1949,4月,129
1949,5月,121
1949,6月,135
1949,7月,148
1949,8月,148
1949,9月,136
1949,10月,119
1949,11月,104
1949,12月,118
1950,1月,115
1950,2月,126
1950,3月,141
1950,4月,135
1950,5月,125
1950,6月,149
1950,7月,170
1950,8月,170
1950,9月,158
1950,10月,133
1950,11月,114
1950,12月,140
1951,1月,145
1951,2月,150
1951,3月,178
1951,4月,163
1951,5月,172
1951,6月,178
1951,7月,199
1951,8月,199
1951,9月,184
1951,10月,162
1951,11月,146
1951,12月,166
1952,1月,171
1952,2月,180
1952,3月,193
1952,4月,181
1952,5月,183
1952,6月,218
1952,7月,230
1952,8月,242
1952,9月,209
1952,10月,191
1952,11月,172
1952,12月,194
1953,1月,196
1953,2月,196
1953,3月,236
1953,4月,235
1953,5月,229
1953,6月,243
1953,7月,264
1953,8月,272
1953,9月,237
1953,10月,211
1953,11月,180
1953,12月,201
1954,1月,204
1954,2月,188
1954,3月,235
1954,4月,227
1954,5月,234
1954,6月,264
1954,7月,302
1954,8月,293
1954,9月,259
1954,10月,229
1954,11月,203
1954,12月,229
1955,1月,242
1955,2月,233
1955,3月,267
1955,4月,269
1955,5月,270
1955,6月,315
1955,7月,364
1955,8月,347
1955,9月,312
1955,10月,274
1955,11月,237
1955,12月,278
1956,1月,284
1956,2月,277
1956,3月,317
1956,4月,313
1956,5月,318
1956,6月,374
1956,7月,413
1956,8月,405
1956,9月,355
1956,10月,306
1956,11月,271
1956,12月,306
1957,1月,315
1957,2月,301
1957,3月,356
1957,4月,348
1957,5月,355
1957,6月,422
1957,7月,465
1957,8月,467
1957,9月,404
1957,10月,347
1957,11月,305
1957,12月,336
1958,1月,340
1958,2月,318
1958,3月,362
1958,4月,348
1958,5月,363
1958,6月,435
1958,7月,491
1958,8月,505
1958,9月,404
1958,10月,359
1958,11月,310
1958,12月,337
1959,1月,360
1959,2月,342
1959,3月,406
1959,4月,396
1959,5月,420
1959,6月,472
1959,7月,548
1959,8月,559
1959,9月,463
1959,10月,407
1959,11月,362
1959,12月,405
1960,1月,417
1960,2月,391
1960,3月,419
1960,4月,461
1960,5月,472
1960,6月,535
1960,7月,622
1960,8月,606
1960,9月,508
1960,10月,461
1960,11月,390
1960,12月,432
