种类,岛屿,性别,体重,嘴喙长度,嘴喙深度,鳍足长度
阿德利企鹅,托格森岛,雄性,3750.0,39.1,18.7,181.0
阿德利企鹅,托格森岛,雌性,3800.0,39.5,17.4,186.0
阿德利企鹅,托格森岛,雌性,3250.0,40.3,18.0,195.0
阿德利企鹅,托格森岛,,,,,
阿德利企鹅,托格森岛,雌性,3450.0,36.7,19.3,193.0
阿德利企鹅,托格森岛,雄性,3650.0,39.3,20.6,190.0
阿德利企鹅,托格森岛,雌性,3625.0,38.9,17.8,181.0
阿德利企鹅,托格森岛,雄性,4675.0,39.2,19.6,195.0
阿德利企鹅,托格森岛,,3475.0,34.1,18.1,193.0
阿德利企鹅,托格森岛,,4250.0,42.0,20.2,190.0
阿德利企鹅,托格森岛,,3300.0,37.8,17.1,186.0
阿德利企鹅,托格森岛,,3700.0,37.8,17.3,180.0
阿德利企鹅,托格森岛,雌性,3200.0,41.1,17.6,182.0
阿德利企鹅,托格森岛,雄性,3800.0,38.6,21.2,191.0
阿德利企鹅,托格森岛,雄性,4400.0,34.6,21.1,198.0
阿德利企鹅,托格森岛,雌性,3700.0,36.6,17.8,185.0
阿德利企鹅,托格森岛,雌性,3450.0,38.7,19.0,195.0
阿德利企鹅,托格森岛,雄性,4500.0,42.5,20.7,197.0
阿德利企鹅,托格森岛,雌性,3325.0,34.4,18.4,184.0
阿德利企鹅,托格森岛,雄性,4200.0,46.0,21.5,194.0
阿德利企鹅,比斯科岛,雌性,3400.0,37.8,18.3,174.0
阿德利企鹅,比斯科岛,雄性,3600.0,37.7,18.7,180.0
阿德利企鹅,比斯科岛,雌性,3800.0,35.9,19.2,189.0
阿德利企鹅,比斯科岛,雄性,3950.0,38.2,18.1,185.0
阿德利企鹅,比斯科岛,雄性,3800.0,38.8,17.2,180.0
阿德利企鹅,比斯科岛,雌性,3800.0,35.3,18.9,187.0
阿德利企鹅,比斯科岛,雄性,3550.0,40.6,18.6,183.0
阿德利企鹅,比斯科岛,雌性,3200.0,40.5,17.9,187.0
阿德利企鹅,比斯科岛,雌性,3150.0,37.9,18.6,172.0
阿德利企鹅,比斯科岛,雄性,3950.0,40.5,18.9,180.0
阿德利企鹅,梦幻岛,雌性,3250.0,39.5,16.7,178.0
阿德利企鹅,梦幻岛,雄性,3900.0,37.2,18.1,178.0
阿德利企鹅,梦幻岛,雌性,3300.0,39.5,17.8,188.0
阿德利企鹅,梦幻岛,雄性,3900.0,40.9,18.9,184.0
阿德利企鹅,梦幻岛,雌性,3325.0,36.4,17.0,195.0
阿德利企鹅,梦幻岛,雄性,4150.0,39.2,21.1,196.0
阿德利企鹅,梦幻岛,雄性,3950.0,38.8,20.0,190.0
阿德利企鹅,梦幻岛,雌性,3550.0,42.2,18.5,180.0
阿德利企鹅,梦幻岛,雌性,3300.0,37.6,19.3,181.0
阿德利企鹅,梦幻岛,雄性,4650.0,39.8,19.1,184.0
阿德利企鹅,梦幻岛,雌性,3150.0,36.5,18.0,182.0
阿德利企鹅,梦幻岛,雄性,3900.0,40.8,18.4,195.0
阿德利企鹅,梦幻岛,雌性,3100.0,36.0,18.5,186.0
阿德利企鹅,梦幻岛,雄性,4400.0,44.1,19.7,196.0
阿德利企鹅,梦幻岛,雌性,3000.0,37.0,16.9,185.0
阿德利企鹅,梦幻岛,雄性,4600.0,39.6,18.8,190.0
阿德利企鹅,梦幻岛,雄性,3425.0,41.1,19.0,182.0
阿德利企鹅,梦幻岛,,2975.0,37.5,18.9,179.0
阿德利企鹅,梦幻岛,雌性,3450.0,36.0,17.9,190.0
阿德利企鹅,梦幻岛,雄性,4150.0,42.3,21.2,191.0
阿德利企鹅,比斯科岛,雌性,3500.0,39.6,17.7,186.0
阿德利企鹅,比斯科岛,雄性,4300.0,40.1,18.9,188.0
阿德利企鹅,比斯科岛,雌性,3450.0,35.0,17.9,190.0
阿德利企鹅,比斯科岛,雄性,4050.0,42.0,19.5,200.0
阿德利企鹅,比斯科岛,雌性,2900.0,34.5,18.1,187.0
阿德利企鹅,比斯科岛,雄性,3700.0,41.4,18.6,191.0
阿德利企鹅,比斯科岛,雌性,3550.0,39.0,17.5,186.0
阿德利企鹅,比斯科岛,雄性,3800.0,40.6,18.8,193.0
阿德利企鹅,比斯科岛,雌性,2850.0,36.5,16.6,181.0
阿德利企鹅,比斯科岛,雄性,3750.0,37.6,19.1,194.0
