排名,icon,选手,比赛场次,胜场,胜率,场均KDA,场均击杀数,场均死亡数,场均助攻数,场均经济,分均经济,经济占比,场均伤害,分均伤害,伤害占比,伤害转化率,场均承伤,分均承伤,承伤占比,场均推塔数,推塔占比,参团率,场均比赛时长
1,https://smobatv-pic.tga.qq.com/38e591cf1ed8efa83ea56f34bbb88af7.png,花月,1,1,100%,9(5 / 1 / 4),5,1,4,7554,755,21%,49291,4518.5,21.8%,103.9%,23929,1832.3,14.8%,3,37.5%,75%,00:10:55
2,https://smobatv-pic.tga.qq.com/b3dcd48a50cc8b4fd2a3479614157382.png,自渡,1,1,100%,8(1 / 0 / 7),1,0,7,6322,632,17.6%,31683,2904.3,14%,79.8%,51490,4251.1,34.3%,1,12.5%,66%,00:10:55
3,https://smobatv-pic.tga.qq.com/c5f03a87d36aef19a400d1d09365a35a.png,无铭,2,2,100%,11.5(0 / 1 / 11.5),0,1,11.5,6248.5,475,13.6%,19384.5,1341.6,6.4%,47.1%,50835.5,3075,23.2%,0.5,6.2%,77.5%,00:14:26
4,https://smobatv-pic.tga.qq.com/de4b9d54a1c9bfdffea83e29080e0aa9.png,归期,6,5,83.3%,5.3(2.5 / 1.3 / 4.3),2.5,1.3,4.3,9835.1,649.5,19.7%,51265.6,3202,17.5%,89.8%,72338.8,3703.2,22.5%,1.1,14.5%,62.5%,00:15:28
5,https://smobatv-pic.tga.qq.com/3131a3a52761b06dcb89c5ab7f66e52e.png,风劫,5,4,80%,4.2(3.6 / 2.6 / 5.4),3.6,2.6,5.4,13112.8,743,23.7%,97282.4,5247.4,26.6%,112.1%,70503,2951.7,16.1%,3.6,47%,73.4%,00:18:27
6,https://smobatv-pic.tga.qq.com/63c9ee50a54d077c0d7af79e59c0b7cc.png,月色,8,6,75%,5.1(0.5 / 1.6 / 6.8),0.5,1.6,6.8,10407.1,603.6,19.2%,116158.1,6026.9,28.6%,148.2%,46715.5,2136.2,11.9%,0.1,1.3%,65.8%,00:17:60
7,https://smobatv-pic.tga.qq.com/a2a8b6d77f5f3f921406de464abe3216.png,钟意,11,8,72.7%,6.2(3 / 1.7 / 5),3,1.7,5,12402.3,743.9,23.9%,57220.6,3316.3,16.9%,72.4%,97741.9,3933.8,21.7%,1.1,19.1%,69%,00:16:60
8,https://smobatv-pic.tga.qq.com/60d74420e4df0e080b29c307368dacc6.png,帆帆,60,42,70%,7.1(0.8 / 1.2 / 8.1),0.8,1.2,8.1,7110.5,454.3,14.5%,38638.1,2241.5,10.8%,75.2%,71765.4,3672.4,21.4%,0.1,2.8%,79.8%,00:16:17
9,https://smobatv-pic.tga.qq.com/ca303f0f42b7ce8619dc433c3ed69b23.png,妖刀,75,52,69.3%,6(3.2 / 1.4 / 4.6),3.2,1.4,4.6,11987.5,756.5,24.3%,88852.2,5265.2,26.4%,107.8%,62970.5,2837.4,16.4%,2.5,38.9%,70.4%,00:16:25
10,https://smobatv-pic.tga.qq.com/a5f65ff7a7665af4718b90f48b76789c.png,小胖,64,44,68.7%,5.4(2.7 / 1.6 / 4.6),2.7,1.6,4.6,11793.1,750,24%,64148.5,3941.9,20%,84.2%,97764,4186.4,24.5%,1.2,22%,70.5%,00:16:18
11,https://smobatv-pic.tga.qq.com/3109a021ad37fbc536c5dc51405b8654.png,向鱼,67,46,68.6%,6.2(2.2 / 1.2 / 5.2),2.2,1.2,5.2,8693.5,554.1,17.8%,92274.1,5483.4,27%,151.3%,38256.8,2009.7,11.4%,0.3,4.9%,66%,00:16:13
12,https://smobatv-pic.tga.qq.com/5cd022c1258f158b76b9856a9fb52389.png,Fly,69,47,68.1%,4.7(1.9 / 1.7 / 4.7),1.9,1.7,4.7,9333.5,591.2,19%,53718,3201.7,15.9%,83.6%,92917.1,4485.6,26%,1.2,17.8%,59.6%,00:16:29
13,https://smobatv-pic.tga.qq.com/36ee63cce8a0061c6c2d887f2ebbe622.png,一笙,15,10,66.6%,6.3(0.9 / 1.5 / 7.8),0.9,1.5,7.8,7272.8,448.8,14.6%,34947.3,1997.5,10.2%,70.1%,92714,4731.2,24.8%,0,0.7%,85.7%,00:16:53
14,https://smobatv-pic.tga.qq.com/34b847d9d4acf1fb377d2b4fd50af251.png,誓约,29,18,62%,4(2.1 / 2 / 3.8),2.1,2,3.8,9791.5,620.3,19.9%,44036.7,2672.7,15.6%,79.5%,85698.4,4263.1,23.9%,0.7,13.4%,68.6%,00:16:29
15,https://smobatv-pic.tga.qq.com/2a4ea3d4cca408009c033f13509ed748.png,一门,17,10,58.8%,6.7(0.6 / 1.2 / 7.2),0.6,1.2,7.2,7622.2,483.6,15.2%,26492.1,1567.5,8.9%,58.4%,79300.3,3947.8,24.4%,0,0.7%,82.7%,00:16:33
