tenure,monthly_fee,contract_type,churn
39,70.95190368155365,0,0
52,44.15134413485333,1,0
29,67.24434618249623,1,1
15,57.878175690364216,1,0
43,53.50198694720364,0,0
8,62.03978383411145,0,1
21,50.811063113907295,1,1
39,53.60526734116216,1,0
58,62.35028774418448,1,0
19,80.78679112618235,0,1
23,53.76792458329511,0,0
11,43.19305002541766,1,0
11,19.56153717359017,0,1
24,79.41955207945456,1,1
53,46.0513743114206,0,0
36,58.022139351219,0,0
40,78.58860855390492,1,0
24,53.41403481395738,1,0
3,47.0799460718378,1,0
22,71.29509466315616,1,1
53,56.91105601345879,0,0
2,58.79158407085101,0,1
24,27.152586942923588,0,0
44,68.08872810863878,1,0
30,55.63382101987468,0,0
38,29.42615930415314,1,0
2,57.276411674199124,0,0
21,19.06211489132376,1,0
33,85.12962803769493,1,0
12,33.47217800027359,0,0
58,74.17689148577654,1,0
22,37.8056667782202,1,0
44,58.403385664560794,0,0
25,36.31807615085752,1,0
49,64.9567283284673,1,0
27,46.47021887139122,1,0
59,57.01669319311564,0,0
42,50.22596572368492,0,0
28,29.515028202745164,1,0
16,57.561602895358014,0,0
15,42.45143771501378,1,0
47,65.67969189511416,1,0
51,46.462102877739845,1,0
44,48.84854136457502,1,0
55,75.24389696559405,1,0
52,85.72455191761927,0,1
57,61.79050933568124,1,0
3,45.69289853864922,0,0
37,44.38008007465784,0,0
51,37.7198452202213,1,0
7,40.621427246696655,1,0
21,45.89585384744047,0,0
9,79.4637945049235,0,0
39,47.04167493719714,0,0
18,31.609204937028462,1,0
4,50.62497900688074,0,0
25,52.67192638641597,1,0
14,50.534531897756835,1,0
50,61.99536833877811,1,0
58,51.0350826703855,0,0
9,61.530912382209934,1,0
26,38.294849689134274,1,0
53,76.71094157217834,1,0
2,53.78719682515377,1,0
20,56.00328455610557,1,0
28,38.23232159280046,0,0
47,57.07740486899594,1,0
7,59.76597585005456,1,0
44,32.45347349262365,0,0
8,25.11362617418515,1,0
47,54.40499035414199,0,0
35,42.66845264816701,1,0
14,53.89882203703594,0,0
17,30.634458936528276,0,0
36,26.59241128425994,1,0
50,53.100341945016154,1,0
40,44.75324358564722,1,0
4,18.339507182747322,0,0
2,70.14648227161595,0,1
6,30.38514397724364,0,0
54,88.59987428165648,1,0
42,40.63974906667132,0,0
4,56.023408521889976,0,1
54,74.70423515580778,1,0
29,72.19150891743237,0,0
18,79.79204609340324,0,0
26,27.153856416794703,1,0
44,32.96201753739129,0,0
34,53.38995911141045,1,0
10,62.59621156846571,1,1
36,49.83158834930543,1,0
14,25.43008946429917,1,0
31,57.44867238447199,1,0
48,47.08622917648948,0,0
15,46.906415615662,0,0
8,15.83074373284164,1,0
14,61.96226306717472,1,0
23,52.17806090428187,0,0
57,76.92746834958444,1,1
40,48.88238530203241,1,0
21,58.49510195778534,1,1
