transaction_date,customer_name,amount,order_status,payment_method
,,295.7054434350147,pending,
2023-02-17,Customer 14,,completed,
,Customer 8,758.5243808182214,failed,credit_card
2023-03-09,,141.0531734357978,failed,credit_card
2023-03-09,,288.24132653275706,failed,paypal
,Customer 42,,completed,paypal
2023-03-25,,,failed,
2023-01-22,Customer 41,,completed,paypal
2023-02-06,Customer 16,,pending,paypal
,,,failed,paypal
2023-03-12,Customer 39,849.7342877584517,failed,paypal
2023-03-30,Customer 48,,completed,credit_card
,,733.1453057212319,pending,paypal
2023-01-13,Customer 2,263.46808044284387,failed,paypal
2023-02-28,Customer 32,,completed,paypal
2023-03-07,Customer 45,622.4024234693171,completed,paypal
2023-02-09,Customer 25,808.7879403595233,failed,paypal
2023-03-29,,645.827914061718,pending,
,Customer 4,296.5625693307305,failed,
,Customer 19,,completed,debit_card
2023-03-23,Customer 48,,completed,
2023-02-07,Customer 4,,completed,debit_card
2023-01-26,,744.0050417131358,pending,credit_card
,Customer 13,,completed,debit_card
,Customer 39,737.6933350180027,pending,debit_card
2023-01-10,Customer 36,548.3262029567231,completed,debit_card
2023-01-21,Customer 23,860.0950715247482,pending,credit_card
2023-03-22,Customer 6,274.9080006486849,failed,credit_card
2023-03-11,Customer 24,795.9934086495128,pending,
2023-03-21,Customer 44,976.8327974715095,failed,debit_card
2023-02-17,Customer 33,,pending,
2023-03-06,Customer 12,802.3839859936121,failed,credit_card
2023-03-24,Customer 41,986.5290509949123,pending,debit_card
2023-04-10,Customer 21,,failed,debit_card
2023-03-30,,,completed,debit_card
,Customer 44,,failed,debit_card
,,469.44292428501126,pending,credit_card
2023-01-20,Customer 29,,completed,paypal
2023-01-20,Customer 48,,completed,credit_card
,Customer 41,461.01910740276486,failed,credit_card
2023-02-09,Customer 3,208.59129206750777,failed,
2023-02-02,,,completed,paypal
2023-03-07,Customer 20,465.5084436831799,failed,credit_card
,Customer 26,612.289684084263,completed,credit_card
2023-02-27,Customer 24,,completed,
,Customer 47,809.9854999475176,failed,paypal
,Customer 21,470.2351726341441,failed,paypal
2023-03-16,Customer 30,,pending,credit_card
2023-01-24,Customer 4,459.5490192844812,failed,debit_card
2023-02-05,,,completed,paypal
2023-03-17,Customer 40,797.69779971995,completed,debit_card
2023-02-25,Customer 10,933.5916371586834,pending,debit_card
,Customer 10,392.77927464309676,pending,credit_card
,Customer 42,,completed,credit_card
2023-01-01,Customer 24,,pending,
2023-01-01,Customer 4,,completed,credit_card
,Customer 47,374.12382760831696,failed,paypal
2023-02-23,,,completed,
2023-01-06,Customer 45,,pending,debit_card
2023-02-08,,709.6706465247498,failed,debit_card
2023-01-18,Customer 32,,completed,paypal
2023-03-21,Customer 10,488.93324493233496,completed,paypal
,,776.9210688891404,pending,debit_card
,Customer 28,,pending,paypal
2023-02-28,Customer 46,,completed,credit_card
2023-02-01,Customer 8,186.89464884471226,failed,credit_card
2023-01-02,Customer 40,,pending,debit_card
2023-03-07,Customer 22,,failed,
2023-02-11,Customer 34,528.8294804948475,pending,
,Customer 45,,failed,credit_card
2023-02-05,,512.6630970129855,completed,credit_card
2023-01-12,Customer 35,572.1333586793631,failed,debit_card
2023-02-16,Customer 25,497.81378601538313,completed,paypal
2023-03-24,,867.3714314041059,failed,debit_card
2023-04-02,Customer 6,490.0950770224203,completed,debit_card
2023-01-01,Customer 41,844.1833314525772,completed,paypal
2023-01-15,,558.407858831368,failed,credit_card
2023-04-10,Customer 1,177.7392823335771,pending,
2023-02-23,Customer 12,694.0358760006541,completed,debit_card
2023-01-13,,,failed,debit_card
2023-02-12,Customer 6,862.5477902566403,completed,credit_card
2023-03-26,Customer 17,713.2232161870621,completed,credit_card
2023-03-17,Customer 9,260.53061437928545,failed,paypal
2023-03-10,Customer 2,,completed,
,Customer 18,108.71935371711626,pending,paypal
,Customer 49,902.844692273196,failed,
,,,completed,debit_card
2023-01-04,Customer 28,801.2727768262497,failed,debit_card
2023-03-18,Customer 41,932.6470832537939,failed,paypal
,,743.6608740673684,pending,credit_card
2023-03-20,Customer 49,,failed,paypal
2023-01-16,Customer 26,522.5484726350876,failed,credit_card
,Customer 4,894.4383604536138,failed,credit_card
2023-04-10,Customer 40,539.5690539463509,failed,
,Customer 36,473.11073663450776,failed,debit_card
2023-01-24,Customer 31,,completed,paypal
2023-03-21,Customer 30,527.7604977177543,failed,
,Customer 34,,completed,credit_card
,Customer 19,,completed,
2023-02-18,Customer 18,243.8803738546352,pending,debit_card
2023-02-19,Customer 30,,pending,
2023-03-11,Customer 21,684.5167268055415,failed,paypal
,Customer 3,585.3012376723775,pending,credit_card
2023-02-05,Customer 6,393.1162897751339,completed,debit_card
2023-03-06,Customer 38,232.31250539992112,failed,
2023-04-06,Customer 13,,pending,credit_card
2023-03-11,Customer 45,216.4711036800262,completed,debit_card
2023-04-05,,,pending,debit_card
2023-01-01,Customer 48,183.03415336623993,failed,paypal
2023-02-20,Customer 28,919.4902501541172,pending,credit_card
2023-02-06,,,failed,debit_card
2023-02-04,Customer 40,820.3406158965146,failed,credit_card
2023-02-18,Customer 40,889.4178692931144,pending,
,,,failed,
2023-01-04,Customer 23,,failed,credit_card
2023-04-09,Customer 31,,failed,
2023-02-12,Customer 18,622.1773951869335,failed,
2023-03-19,Customer 7,744.6197567962168,pending,paypal
,Customer 8,124.3620862994711,failed,
2023-03-15,Customer 19,758.257605999844,failed,debit_card
2023-01-01,Customer 29,790.2671549058329,failed,debit_card
,Customer 44,108.78979203665499,failed,credit_card
2023-02-13,Customer 20,,completed,
,Customer 42,309.57892397288185,pending,paypal
2023-01-24,,553.0846851459573,pending,paypal
2023-03-01,,,completed,paypal
2023-01-03,,,pending,
2023-04-09,Customer 10,187.72181985294088,completed,credit_card
