region,product,quarter,sales,profit
East,Product C,Q4,8385.16,8335.37
West,Product B,Q4,25901.74,502.83
North,Product B,Q4,35094.83,6798.02
East,Product B,Q4,43059.58,5081.02
East,Product B,Q4,16971.99,2261.61
West,Product B,Q2,11791.81,3617.59
North,Product B,Q2,35846.33,1818.28
North,Product C,Q3,40665.55,5726.65
East,Product C,Q4,18084.63,-102.46
South,Product B,Q2,5712.65,-942.97
East,Product C,Q3,47085.64,5906.84
East,Product A,Q4,20481.03,1137.01
East,Product B,Q1,26369.82,-219.65
East,Product A,Q3,42047.8,3364.62
West,Product A,Q2,34108.82,-441.55
North,Product B,Q1,37025.59,8752.79
West,Product C,Q1,11244.51,-696.22
West,Product A,Q1,27530.95,5367.51
West,Product B,Q3,35093.44,3823.22
East,Product A,Q2,12198.95,6392.29
South,Product A,Q1,9572.79,2609.68
North,Product A,Q4,49126.25,705.46
South,Product A,Q1,26315.16,9800.25
West,Product C,Q1,13780.63,8228.27
West,Product A,Q3,49816.43,8464.45
South,Product A,Q3,48305.55,1752.76
South,Product A,Q2,28356.38,-572.82
South,Product C,Q4,44249.18,2335.92
West,Product A,Q3,10246.65,4907.91
West,Product A,Q1,14664.7,2593.16
North,Product C,Q2,35317.53,8106.56
North,Product C,Q1,42486.4,1986.97
West,Product C,Q1,42959.89,9617.77
South,Product A,Q3,20820.9,4029.92
South,Product C,Q2,44500.73,8262.25
North,Product C,Q4,42695.49,1138.18
West,Product A,Q4,46846.11,3524.89
North,Product C,Q3,39481.69,6694.63
North,Product A,Q3,33780.42,521.88
East,Product B,Q2,29453.64,460.2
East,Product C,Q4,19241.86,9664.91
East,Product B,Q4,47066.54,6860.55
South,Product A,Q4,48709.53,-548.26
West,Product C,Q1,14912.13,3387.03
West,Product A,Q4,15962.83,3768.73
West,Product B,Q1,24795.07,7184.47
West,Product A,Q2,22972.78,1759.47
East,Product C,Q1,49728.42,1027.67
South,Product C,Q2,9620.34,-110.4
South,Product B,Q4,1885.69,3711.46
East,Product A,Q4,25200.79,6573.5
South,Product C,Q2,9762.31,-359.87
East,Product B,Q3,18956.97,9067.35
West,Product C,Q2,37464.36,3865.87
East,Product C,Q3,36326.06,1637.66
West,Product A,Q1,16094.98,32.61
West,Product C,Q1,27584.47,1011.53
North,Product A,Q1,25931.89,9280.75
East,Product C,Q4,32180.3,6020.98
North,Product B,Q1,13272.63,4683.66
East,Product C,Q3,29903.67,6228.22
East,Product A,Q1,48965.75,3792.4
North,Product A,Q2,24850.37,7030.43
North,Product B,Q2,45398.84,-475.12
East,Product C,Q4,22285.32,5226.41
South,Product C,Q2,18153.84,745.11
West,Product B,Q3,32610.06,321.81
North,Product C,Q1,33777.28,2760.68
West,Product C,Q4,43344.21,9.79
South,Product A,Q1,12279.08,35.73
South,Product C,Q1,25460.48,2425.55
South,Product C,Q3,29028.21,9774.62
North,Product B,Q2,38659.15,928.63
South,Product B,Q2,3136.58,-811.23
North,Product A,Q1,49732.98,7397.01
South,Product C,Q4,24027.28,7876.04
West,Product C,Q2,14698.46,2809.35
West,Product C,Q4,44291.21,4111.41
East,Product A,Q2,37638.22,6147.51
West,Product A,Q4,47700.52,-471.35
East,Product B,Q3,17206.76,9440.6
West,Product A,Q4,28085.48,8753.48
North,Product C,Q3,29042.33,1869.83
West,Product C,Q3,49036.25,-831.65
East,Product A,Q4,4691.97,9267.8
East,Product C,Q3,15979.15,4511.44
South,Product C,Q1,10354.64,4933.15
North,Product A,Q3,14155.27,6523.6
West,Product A,Q2,24778.71,5774.36
South,Product C,Q4,19261.66,9382.81
West,Product C,Q1,20339.88,9386.77
West,Product C,Q4,42366.44,8539.19
South,Product B,Q2,46570.82,6000.44
South,Product B,Q2,4450.39,7810.44
South,Product B,Q2,11237.02,6448.85
South,Product A,Q3,33886.03,5307.04
South,Product B,Q3,18573.69,413.5
West,Product A,Q4,13454.02,7923.25
South,Product A,Q4,15469.24,8027.03
North,Product B,Q1,16804.99,5885.34
