customer_id,flight_date,flight_number,origin,destination,fare,cabin_class,distance_miles
C_0335,2022-04-13,AA961,ORD,JFK,443,Economy,4980
C_0147,2022-12-15,AA667,JFK,JFK,1859,Economy,4856
C_0102,2022-09-28,AA159,ORD,JFK,839,Business,4418
C_0288,2022-04-17,AA749,ORD,DEN,644,First,2865
C_0313,2022-03-13,AA138,SFO,SFO,107,Economy,615
C_0031,2022-07-08,AA639,SFO,CLT,614,Economy,907
C_0314,2022-01-21,AA148,SFO,DFW,50,Economy,2884
C_0485,2022-04-13,AA519,DEN,LAX,265,First,3566
C_0154,2022-05-02,AA736,CLT,CLT,1390,Business,3703
C_0048,2022-08-03,AA112,ORD,DEN,1301,First,4642
C_0379,2022-11-27,AA135,DEN,DEN,1546,Economy,2759
C_0041,2022-03-29,AA200,ATL,DFW,1557,Business,4171
C_0153,2022-04-10,AA893,SFO,JFK,815,Economy,4830
C_0431,2022-12-26,AA185,ATL,SFO,720,Economy,3157
C_0182,2022-06-01,AA615,SFO,DFW,1360,First,1929
C_0232,2022-05-11,AA322,LAX,CLT,560,Economy,2101
C_0121,2022-05-30,AA437,DEN,CLT,1651,First,4959
C_0185,2022-11-05,AA265,DEN,DFW,964,Economy,1241
C_0456,2022-09-15,AA482,CLT,DEN,1894,Business,226
C_0317,2022-12-10,AA955,JFK,LAX,1531,Economy,2783
C_0388,2022-10-21,AA994,DFW,ORD,144,Economy,1252
C_0415,2022-07-11,AA475,ORD,SFO,542,Economy,1874
C_0120,2022-10-04,AA570,JFK,CLT,814,Economy,3255
C_0352,2022-06-10,AA889,DEN,CLT,1071,Economy,1858
C_0226,2022-11-10,AA741,JFK,DFW,199,Economy,4935
C_0112,2022-01-22,AA130,LAX,SFO,1096,Economy,4151
C_0195,2022-09-10,AA474,DFW,DFW,805,Economy,3388
C_0297,2022-08-24,AA110,CLT,JFK,1288,Economy,1941
C_0026,2022-12-11,AA401,DEN,SFO,,Economy,4287
C_0452,2022-02-18,AA195,DEN,JFK,459,Business,4337
C_0194,2022-02-28,AA289,ORD,CLT,180,Business,3431
C_0019,2022-06-19,AA552,CLT,DEN,904,Economy,1914
C_0343,2022-07-07,AA291,CLT,JFK,197,Economy,3396
C_0025,2022-09-28,AA585,SFO,SFO,430,Business,3531
C_0047,2022-07-09,AA365,DFW,ATL,1182,Economy,3547
C_0199,2022-06-24,AA523,LAX,SFO,601,Economy,2186
C_0264,2022-02-20,AA227,ATL,DFW,1194,Economy,3744
C_0003,2022-12-30,AA337,JFK,JFK,344,Economy,901
C_0471,2022-02-24,AA454,CLT,LAX,1193,Economy,1654
C_0239,2022-09-01,AA211,ORD,ATL,505,Economy,3986
C_0289,2022-11-16,AA927,DEN,DEN,1603,Economy,2671
C_0368,2022-05-11,AA545,ATL,ORD,218,Economy,4460
C_0412,2022-11-03,AA442,LAX,DFW,759,Economy,3244
C_0022,2022-05-15,AA244,DFW,DFW,1996,Economy,4083
C_0355,2022-01-21,AA164,CLT,LAX,1216,Economy,3140
C_0354,2022-11-25,AA346,JFK,ORD,86,Economy,2020
C_0030,2022-06-16,AA834,CLT,CLT,1771,First,3002
C_0047,2022-10-01,AA589,ORD,ORD,1334,Economy,3995
C_0420,2022-03-30,AA924,CLT,DEN,280,Economy,2663
C_0315,2022-11-12,AA538,CLT,DEN,303,Economy,3571
C_0270,2022-01-14,AA205,CLT,ATL,378,Economy,535
C_0329,2022-08-30,AA280,DEN,CLT,1976,Economy,2124
C_0470,2022-09-22,AA283,DEN,DFW,1370,Economy,4060
C_0476,2022-12-12,AA325,ATL,JFK,1029,Business,2988
C_0361,2022-02-22,AA876,ATL,DEN,59,Economy,4325
C_0270,2022-12-06,AA889,JFK,LAX,495,Business,3806
C_0463,2022-04-02,AA188,DFW,LAX,971,Economy,1740
C_0440,2022-09-21,AA787,LAX,LAX,885,First,774
C_0485,2022-02-04,AA629,SFO,SFO,1303,Business,420
C_0152,2022-07-25,AA470,DFW,CLT,1609,First,2213
C_0226,2022-03-22,AA498,DFW,CLT,127,Economy,2841
C_0248,2022-02-19,AA205,DFW,DEN,1498,Economy,953
C_0305,2022-12-26,AA370,SFO,DEN,242,Business,1220
C_0171,2022-01-02,AA930,JFK,LAX,450,Business,1688
C_0237,2022-02-23,AA602,SFO,CLT,158,First,2161
C_0236,2022-04-16,AA778,JFK,CLT,841,Economy,3683
C_0259,2022-09-17,AA624,SFO,DEN,1996,Business,637
C_0279,2022-11-06,AA948,LAX,SFO,312,Economy,678
C_0148,2022-07-10,AA131,CLT,JFK,378,Economy,982
C_0109,2022-08-06,AA492,DFW,JFK,412,Economy,4367
C_0143,2022-02-13,AA139,CLT,ATL,1940,Economy,4877
C_0299,2022-06-11,AA759,JFK,CLT,1451,First,419
C_0464,2022-07-21,AA317,SFO,DFW,1853,Economy,1227
C_0071,2022-09-27,AA830,LAX,JFK,1414,Economy,489
C_0417,2022-12-17,AA181,SFO,ATL,308,Economy,579
C_0311,2022-10-31,AA944,CLT,ORD,1408,Economy,4173
C_0126,2022-09-28,AA819,DEN,DFW,134,Economy,3051
C_0467,2022-08-03,AA300,LAX,CLT,1595,Economy,1578
C_0082,2022-09-09,AA546,DFW,JFK,1874,Economy,2158
C_0041,2022-07-09,AA943,ORD,SFO,1887,Business,2327
C_0402,2022-10-23,AA527,DFW,ORD,1644,First,265
C_0387,2022-08-01,AA137,ORD,ATL,357,Economy,2383
C_0259,2022-07-27,AA310,LAX,JFK,311,Economy,4694
C_0356,2022-08-25,AA543,DEN,CLT,1971,Economy,3974
C_0144,2022-12-04,AA426,CLT,JFK,846,Business,4642
C_0171,2022-02-22,AA860,DEN,DEN,680,Economy,4119
C_0279,2022-10-07,AA326,JFK,ORD,729,Economy,977
C_0471,2022-08-05,AA147,DEN,JFK,914,Economy,2766
C_0143,2022-09-09,AA117,ATL,LAX,1774,First,-100
C_0457,2022-07-07,AA538,LAX,SFO,1525,Economy,2961
C_0127,2022-02-10,AA906,CLT,DEN,1324,Economy,4051
C_0058,2022-06-06,AA807,CLT,DEN,373,First,278
C_0168,2022-01-15,AA286,JFK,JFK,974,Economy,1781
C_0118,2022-10-28,AA444,CLT,SFO,1302,Business,2362
C_0166,2022-03-06,AA323,DEN,DEN,1775,Economy,1185
C_0373,2022-12-11,AA929,LAX,DFW,1901,First,1685
C_0082,2022-11-23,AA587,DFW,ORD,1709,Economy,2820
C_0358,2022-01-09,AA976,DEN,DFW,1669,Business,1164
C_0134,2022-12-10,AA948,SFO,ATL,1370,Economy,2747
C_0364,2022-05-09,AA328,ORD,DFW,776,Business,1028
C_0485,2022-05-16,AA489,LAX,SFO,1310,Economy,3373
C_0046,2022-03-04,AA688,CLT,LAX,1027,Economy,2873
C_0262,2022-05-19,AA287,JFK,DEN,1698,Business,1918
C_0469,2022-03-22,AA957,DFW,SFO,266,Economy,2632
C_0123,2022-06-12,AA369,ATL,DEN,1906,Economy,-100
C_0222,2022-10-16,AA706,DFW,CLT,1319,Economy,2610
C_0092,2022-09-18,AA409,DEN,LAX,497,Business,3978
C_0404,2022-08-19,AA231,ORD,DEN,1920,Economy,2040
C_0019,2022-02-10,AA650,DFW,DFW,368,Business,697
C_0270,2022-01-28,AA171,ATL,CLT,1043,Economy,736
C_0065,2022-05-15,AA892,SFO,CLT,1505,Economy,3505
C_0219,2022-07-20,AA944,JFK,ATL,1477,Economy,1364
C_0500,2022-11-24,AA771,LAX,CLT,1959,Economy,2171
C_0352,2022-09-25,AA286,ORD,CLT,86,Economy,3727
C_0157,2022-02-02,AA585,ATL,JFK,1649,Economy,499
C_0415,2022-02-17,AA290,CLT,LAX,780,Economy,2586
C_0153,2022-03-03,AA521,DEN,DFW,1415,First,4598
C_0247,2022-08-04,AA219,DEN,SFO,1060,Economy,4163
C_0199,2022-10-20,AA319,DEN,DFW,1462,Economy,4887
C_0231,2022-04-09,AA152,CLT,DFW,1107,Economy,4371
C_0302,2022-06-21,AA833,CLT,JFK,88,Economy,4059
C_0436,2022-12-26,AA550,ORD,ORD,1652,Economy,1113
C_0016,2022-08-02,AA511,DFW,DEN,258,Economy,3895
C_0108,2022-02-04,AA742,ORD,DEN,879,Business,1120
C_0395,2022-08-15,AA336,DEN,SFO,905,Economy,1723
C_0274,2022-04-11,AA857,SFO,CLT,1225,Economy,1949
C_0364,2022-05-11,AA837,ATL,ATL,948,Economy,3817
C_0184,2022-09-14,AA819,LAX,SFO,1438,Economy,2900
C_0490,2022-01-05,AA505,LAX,ORD,1272,Economy,1205
C_0184,2022-08-06,AA707,ORD,DEN,650,Economy,1901
C_0441,2022-09-12,AA521,DEN,ATL,809,Economy,3502
C_0069,2022-12-25,AA811,CLT,SFO,1908,Economy,1003
C_0250,2022-10-10,AA346,JFK,ATL,1152,Business,3566
C_0376,2022-07-26,AA171,SFO,DFW,1550,Economy,3092
C_0450,2022-01-15,AA929,ORD,LAX,483,Economy,3698
C_0458,2022-12-12,AA284,DEN,DFW,1870,Economy,3362
C_0218,2022-02-11,nan,DFW,JFK,891,Economy,314
C_0088,2022-06-28,AA305,LAX,CLT,81,Economy,3529
C_0346,2022-03-04,AA643,LAX,DEN,1160,Economy,4668
C_0272,2022-12-18,AA710,SFO,ATL,1624,Business,2337
C_0217,2022-08-19,AA486,LAX,SFO,442,Economy,230
C_0358,2022-08-29,AA867,JFK,CLT,1686,Economy,2005
C_0390,2022-02-21,AA798,DEN,LAX,,Economy,3769
C_0180,2022-04-06,AA175,DEN,SFO,1305,Economy,1636
C_0125,2022-08-10,AA276,SFO,DEN,959,Economy,4985
C_0376,2022-08-19,AA926,DEN,ATL,1653,Economy,3628
C_0183,2022-08-25,AA898,CLT,ATL,241,Economy,656
C_0332,2022-05-23,AA448,SFO,DFW,1989,Economy,648
C_0329,2022-06-20,AA354,DEN,LAX,1613,Economy,267
C_0433,2022-01-29,AA936,JFK,LAX,319,Business,4289
C_0490,2022-02-05,AA801,ATL,DEN,787,Economy,2062
C_0200,2022-01-13,AA407,ORD,ATL,126,Economy,2002
C_0184,2022-06-09,AA444,ORD,CLT,784,Business,4762
C_0479,2022-11-23,AA226,DEN,LAX,933,Business,3631
C_0297,2022-07-06,AA386,DFW,LAX,1240,Business,327
C_0224,2022-08-31,AA865,LAX,SFO,333,Economy,4025
C_0455,2022-03-27,AA824,JFK,DEN,1777,Business,1467
C_0480,2022-10-11,AA861,DFW,DFW,1162,Economy,4210
C_0362,2022-03-07,AA695,CLT,SFO,593,Economy,1242
C_0440,2022-06-19,AA586,DFW,SFO,698,Economy,3938
C_0377,2022-02-14,AA482,DEN,ORD,1229,Business,567
C_0089,2022-03-03,AA505,JFK,JFK,299,Economy,2804
C_0225,2022-05-14,AA487,ORD,ORD,144,Economy,2840
C_0499,2022-10-11,AA624,LAX,LAX,66,Economy,258
C_0447,2022-01-28,AA656,ORD,ATL,166,Economy,4456
C_0118,2022-04-18,AA738,DFW,JFK,1032,Business,302
C_0156,2022-02-13,AA725,CLT,JFK,382,Economy,4707
C_0459,2022-12-06,AA375,LAX,ATL,1896,Economy,985
