user_id,registration_date,campaign_join_date,age,gender,device,total_spent,purchases,has_coupon,churn
user_0000,05/10/2022,2022-06-25,51.0,Male,Desktop,597.4632966437823,8.0,False,False
user_0001,2022-12-31,04/15/2023,33.0,Male,Mobile,427.77817615641084,5.0,False,False
user_0002,2022-11-10,2023-01-05,61.0,Male,Mobile,564.151971623228,1.0,False,False
user_0003,2020-05-01,2020-10-11,57.0,Female,Mobile,332.032425843922,9.0,False,False
user_0004,2021-04-11,08/16/2021,35.0,Female,Desktop,634.82778700156,5.0,False,False
user_0005,2020-11-26,10/30/2021,51.0,nan,Mobile,399.87939906733584,1.0,False,False
user_0006,2020-03-28,10/16/2020,42.0,Male,Mobile,275.69808793992524,7.0,False,False
user_0007,05/21/2022,12/26/2022,62.0,Female,Desktop,507.56388716641703,3.0,False,False
user_0008,05/10/2020,2020-08-11,23.0,Female,Desktop,117.37676713106237,4.0,False,False
user_0009,2022-02-08,2023-01-13,38.0,Male,Mobile,794.8740143992014,7.0,True,False
user_0010,2020-12-09,2021-11-10,23.0,Male,Mobile,659.4197993823398,7.0,False,False
user_0011,03/16/2022,,49.0,Female,Desktop,567.3939700495605,5.0,False,False
user_0012,2021-01-20,2021-03-19,58.0,nan,Tablet,175.26305092104997,3.0,False,False
user_0013,2022-08-13,07/04/2023,65.0,Female,Desktop,359.96196338531706,0.0,True,False
user_0014,2020-10-03,2021-04-14,60.0,Male,Mobile,508.1116869743704,6.0,False,False
user_0015,2021-04-04,2022-02-22,56.0,Female,Mobile,447.37904579495853,7.0,True,False
user_0016,2020-01-22,2020-12-26,48.0,Male,Desktop,162.2870069105055,8.0,False,False
user_0017,09/09/2020,2021-01-27,59.0,Female,Desktop,236.71419889277178,1.0,False,False
user_0018,2022-01-17,2022-04-25,27.0,Female,Mobile,443.3811206172843,0.0,False,True
user_0019,2022-05-06,2023-02-09,47.0,Male,Mobile,243.3421202832335,3.0,True,False
user_0020,04/19/2021,,69.0,Female,Desktop,774.2774647766523,4.0,True,False
user_0021,2022-12-18,2023-08-31,35.0,Male,Mobile,,9.0,True,False
user_0022,2021-05-25,01/10/2022,,nan,Mobile,339.3071781521938,0.0,True,False
user_0023,2021-11-30,03/12/2022,69.0,Male,Mobile,733.8309656031427,4.0,False,False
user_0024,2022-09-02,,26.0,Male,Mobile,693.5413177347378,5.0,False,False
user_0025,07/08/2020,03/11/2021,48.0,Male,Mobile,557.7916712773839,2.0,False,False
user_0026,2022-08-15,2022-12-26,32.0,Male,Desktop,492.08275330720915,6.0,False,False
user_0027,2021-11-17,2022-01-24,21.0,Male,Mobile,,5.0,True,False
user_0028,2022-08-15,,57.0,Female,Mobile,392.01225844366866,3.0,True,False
user_0029,07/16/2021,,26.0,Female,Mobile,232.64161615842926,2.0,True,False
user_0030,2022-04-11,,62.0,Female,Mobile,805.6657510195998,4.0,False,False
user_0031,2021-10-08,2022-02-16,26.0,Male,Mobile,395.89735624575667,2.0,False,False
user_0032,01/21/2020,2020-11-20,43.0,Female,Mobile,,9.0,True,False
user_0033,04/20/2022,2023-03-20,,Male,Desktop,317.9504287398762,8.0,True,False
user_0034,2020-06-15,2021-06-09,34.0,Female,Mobile,448.109896678134,8.0,False,False
user_0035,2021-01-22,12/20/2021,33.0,Male,Mobile,1070.1554847739485,5.0,False,False
user_0036,2021-08-23,,32.0,nan,Mobile,354.8004192509545,5.0,False,False
user_0037,2020-11-11,08/31/2021,52.0,Female,Mobile,789.7191549083102,3.0,False,False
user_0038,2020-01-14,2020-05-03,69.0,Female,Desktop,494.43889656922016,3.0,True,False
user_0039,2020-08-29,2021-04-13,22.0,Male,Mobile,635.9876926989291,1.0,False,False
user_0040,02/15/2022,2022-06-13,22.0,Male,Tablet,748.9160510792503,,False,False
user_0041,2021-07-18,10/14/2021,37.0,Male,Mobile,554.4534768811995,3.0,False,False
