ProductID,Category,Price,UnitsSold,Rating
1001,服装鞋帽,98.2,289,4.3
1002,图书音像,66.75,345,4.0
1003,电子产品,98.67,256,3.7
1004,服装鞋帽,12.33,267,2.0
1005,服装鞋帽,72.26,485,2.6
1006,图书音像,-150.0,393,2.9
1007,电子产品,394.61,169,1.3
1008,电子产品,53.61,484,3.1
1009,服装鞋帽,40.11,349,2.7
1010,家居用品,54.5,161,4.2
1011,服装鞋帽,224.84,0,4.9
1012,服装鞋帽,125.05,187,3.2
1013,服装鞋帽,53.0,172,2.3
1014,服装鞋帽,150.4,389,1.2
1015,图书音像,99.19,42,4.7
1016,电子产品,0.0,426,4.7
1017,图书音像,44.61,454,2.0
1018,图书音像,64.87,188,3.8
1019,图书音像,60.82,436,1.3
1020,服装鞋帽,20.83,110,1.7
1021,家居用品,121.04,277,1.9
1022,电子产品,116.87,332,2.2
1023,家居用品,90.48,74,5.0
1024,图书音像,71.19,426,3.8
1025,图书音像,21.86,177,2.5
1026,家居用品,59.11,339,3.9
1027,家居用品,63.9,52,4.7
1028,家居用品,40.36,53,4.8
1029,图书音像,76.61,294,1.2
1030,图书音像,134.83,406,2.6
1031,电子产品,593.59,21,1.4
1032,电子产品,107.19,104,2.3
1033,图书音像,116.46,311,1.7
1034,家居用品,83.56,395,3.6
1035,家居用品,13.21,262,2.6
1036,电子产品,87.66,251,1.9
1037,图书音像,95.61,44,2.1
1038,电子产品,1057.06,224,2.4
1039,电子产品,74.26,346,2.0
1040,服装鞋帽,121.7,99,2.8
1041,服装鞋帽,86.95,273,1.1
1042,服装鞋帽,27.98,102,2.1
1043,家居用品,282.26,419,2.6
1044,图书音像,190.93,467,3.4
1045,图书音像,198.55,99,2.1
1046,图书音像,36.26,427,1.5
1047,图书音像,366.06,124,1.3
1048,服装鞋帽,22.16,114,4.8
1049,家居用品,161.88,400,2.7
1050,家居用品,804.69,205,3.3
1051,服装鞋帽,33.43,323,4.7
1052,家居用品,51.1,123,1.3
1053,服装鞋帽,99.45,84,4.5
1054,图书音像,54.41,422,3.2
1055,服装鞋帽,19.09,385,1.7
1056,图书音像,96.41,429,2.6
1057,图书音像,31.12,226,4.1
1058,电子产品,144.55,286,2.9
1059,服装鞋帽,35.89,258,4.9
1060,电子产品,424.09,173,2.5
1061,服装鞋帽,41.13,403,4.0
1062,服装鞋帽,65.23,366,2.6
1063,电子产品,203.06,466,4.3
1064,电子产品,26.29,417,3.3
1065,服装鞋帽,113.01,201,1.3
1066,家居用品,332.67,236,1.1
1067,图书音像,18.04,186,1.5
1068,电子产品,108.27,108,1.1
1069,图书音像,116.73,45,1.3
1070,家居用品,196.73,475,3.8
1071,家居用品,26.13,496,3.1
1072,家居用品,24.04,105,4.0
1073,电子产品,151.71,161,4.7
1074,家居用品,121.14,160,3.3
1075,电子产品,115.64,199,3.9
1076,家居用品,127.29,233,4.0
1077,图书音像,45.6,46,2.5
1078,图书音像,113.55,277,2.0
1079,服装鞋帽,120.67,378,1.8
1080,图书音像,44.06,192,2.0
1081,服装鞋帽,581.6,22,2.1
1082,图书音像,144.58,288,1.8
1083,电子产品,27.35,226,4.5
1084,图书音像,173.57,364,4.0
1085,服装鞋帽,33.96,370,1.2
1086,服装鞋帽,197.77,295,2.1
1087,家居用品,286.75,282,1.1
1088,电子产品,39.62,378,3.0
1089,图书音像,235.89,71,2.9
1090,家居用品,136.02,93,4.3
1091,图书音像,204.81,377,2.2
1092,图书音像,599.92,226,4.3
1093,家居用品,70.43,351,4.9
1094,家居用品,42.36,406,1.4
1095,家居用品,36.98,196,4.2
1096,家居用品,39.81,28,3.4
1097,家居用品,83.34,186,2.9
1098,图书音像,126.62,109,2.7
1099,家居用品,118.71,405,4.1
1100,电子产品,205.86,454,3.6
1101,服装鞋帽,91.2,242,4.2
1102,家居用品,385.11,412,4.6
1103,家居用品,69.09,85,3.5
1104,图书音像,1366.72,274,4.9
1105,家居用品,168.29,464,3.4
1106,家居用品,38.2,293,3.5
1107,家居用品,30.85,215,3.2
1108,图书音像,145.83,232,1.4
1109,家居用品,71.99,393,3.9
1110,服装鞋帽,183.83,61,3.2
1111,图书音像,144.49,348,2.8
1112,服装鞋帽,83.69,376,4.6
1113,图书音像,38.6,153,2.2
1114,家居用品,19.79,382,3.1
1115,服装鞋帽,57.6,78,3.8
1116,图书音像,211.96,108,4.2
1117,电子产品,111.51,405,2.8
1118,家居用品,25.9,34,4.4
1119,图书音像,107.04,445,4.1
1120,电子产品,132.33,388,1.3
1121,图书音像,37.19,478,1.2
1122,电子产品,104.98,493,3.5
1123,家居用品,95.41,62,2.4
1124,服装鞋帽,28.7,160,1.8
1125,电子产品,128.74,153,3.3
1126,图书音像,157.71,66,2.4
1127,家居用品,265.88,48,3.1
1128,电子产品,258.22,118,2.8
1129,图书音像,22.7,190,3.3
1130,图书音像,35.24,51,2.6
1131,图书音像,150.66,195,3.8
1132,电子产品,150.47,432,1.7
1133,电子产品,150.66,407,3.8
1134,电子产品,4241.75,232,2.6
1135,服装鞋帽,159.32,131,4.5
1136,电子产品,280.22,142,3.1
1137,电子产品,233.69,172,4.9
1138,电子产品,172.67,224,3.4
1139,服装鞋帽,65.68,230,1.9
1140,电子产品,192.28,244,4.3
1141,图书音像,41.56,340,2.4
1142,电子产品,71.04,155,2.4
1143,图书音像,55.4,248,1.1
1144,图书音像,97.7,85,3.2
1145,图书音像,911.11,18,3.1
1146,服装鞋帽,13.91,83,2.4
1147,服装鞋帽,178.8,451,4.6
1148,服装鞋帽,17.94,410,1.5
1149,电子产品,56.15,262,2.3
1150,图书音像,267.45,239,2.3
1151,服装鞋帽,95.99,16,1.4
1152,服装鞋帽,30.64,183,2.9
1153,电子产品,44.02,150,3.8
1154,服装鞋帽,177.61,177,3.0
1155,电子产品,43.36,179,1.6
1156,家居用品,111.77,402,2.5
1157,服装鞋帽,94.21,443,1.0
1158,家居用品,46.92,292,4.5
1159,电子产品,768.12,131,1.3
1160,图书音像,169.68,203,3.4
1161,服装鞋帽,11.88,14,4.9
1162,电子产品,108.47,38,3.1
1163,图书音像,46.44,174,4.7
1164,图书音像,211.12,431,1.9
1165,家居用品,40.75,348,4.0
1166,电子产品,80.26,145,3.1
1167,图书音像,149.16,374,3.9
1168,服装鞋帽,213.95,330,1.2
1169,服装鞋帽,27.1,351,1.6
1170,家居用品,64.42,154,1.5
1171,图书音像,55.98,336,3.7
1172,电子产品,46.84,226,4.4
1173,服装鞋帽,526.08,310,4.0
1174,图书音像,134.96,141,1.1
1175,图书音像,25.51,301,4.5
1176,家居用品,225.4,79,2.4
1177,服装鞋帽,751.56,261,2.6
1178,服装鞋帽,252.77,424,1.4
1179,电子产品,19.7,284,3.9
1180,服装鞋帽,55.47,454,1.7
1181,电子产品,319.55,373,3.3
1182,服装鞋帽,44.36,191,4.4
1183,家居用品,140.31,176,1.4
1184,服装鞋帽,195.32,100,3.1
1185,电子产品,35.63,211,1.9
1186,电子产品,84.82,355,2.4
1187,家居用品,3.52,28,2.9
1188,服装鞋帽,32.32,48,2.4
1189,服装鞋帽,69.93,135,3.6
1190,家居用品,25.85,460,2.9
1191,服装鞋帽,460.55,182,3.3
1192,服装鞋帽,21.54,150,3.9
1193,电子产品,57.97,251,3.2
1194,服装鞋帽,102.59,229,3.3
1195,服装鞋帽,380.42,135,3.3
1196,家居用品,21.42,67,2.5
1197,家居用品,288.06,157,2.3
1198,图书音像,90.94,485,4.6
1199,电子产品,33.73,465,3.4
1200,服装鞋帽,142.89,326,2.0
